CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Aaron Copland,1900,N,American,M,N,N,Appalachian Spring: Suite,23,1945,N,N,Orchestra
Christopher Rouse,1949,N,American,M,N,N,Bassoon Concerto,20,2017,Y,N,Orchestra with bassoon
John Adams,1947,Y,American,M,N,N,Harmonielehre,40,1985,N,N,Orchestra
